"response_value","variance_level","condition","mean_true","n_trials"
23,"3","average",24.3240601503759,133
23,"3","experience",23.629203539823,113
23,"5","average",23.5824858757062,177
23,"5","experience",23.5145038167939,131
23,"7","average",24.061875,160
23,"7","experience",24.1831168831169,154
24,"3","average",24.81,140
24,"3","experience",24.7730496453901,141
24,"5","average",24.9295774647887,142
24,"5","experience",24.1668918918919,148
24,"7","average",25.3385057471264,174
24,"7","experience",24.121935483871,155
25,"3","average",25.86,125
25,"3","experience",25.0658536585366,123
25,"5","average",24.9347222222222,144
25,"5","experience",25.3816901408451,142
25,"7","average",25.6176470588235,153
25,"7","experience",25.0706896551724,174
26,"3","average",26.2041666666667,120
26,"3","experience",25.9290322580645,124
26,"5","average",26.5356643356643,143
26,"5","experience",26.3453333333333,150
26,"7","average",26.1493902439024,164
26,"7","experience",25.6038461538462,156
27,"3","average",26.9852348993289,149
27,"3","experience",27.236,125
27,"5","average",26.3426573426573,143
27,"5","experience",25.95,130
27,"7","average",26.984,175
27,"7","experience",26.065,160
28,"3","average",27.4553571428571,112
28,"3","experience",28.1067226890756,119
28,"5","average",27.3432835820896,134
28,"5","experience",26.7825301204819,166
28,"7","average",27.4098684210526,152
28,"7","experience",26.5274390243902,164
29,"3","average",28.3608108108108,148
29,"3","experience",29.0024193548387,124
29,"5","average",28.4876623376623,154
29,"5","experience",27.8398305084746,118
29,"7","average",27.923602484472,161
29,"7","experience",26.7055172413793,145
30,"3","average",29.2916666666667,108
30,"3","experience",28.2952,125
30,"5","average",28.3967105263158,152
30,"5","experience",27.4883720930233,129
30,"7","average",28.485401459854,137
30,"7","experience",28.2140939597315,149
31,"3","average",29.2983050847458,118
31,"3","experience",29.3222222222222,108
31,"5","average",28.9048,125
31,"5","experience",28.9389705882353,136
31,"7","average",28.5917808219178,146
31,"7","experience",27.9922619047619,168
32,"3","average",29.6038834951456,103
32,"3","experience",29.7362068965517,116
32,"5","average",29.89,110
32,"5","experience",28.8573529411765,136
32,"7","average",29.6641666666667,120
32,"7","experience",28.4625,128
33,"3","average",29.7259259259259,81
33,"3","experience",30.0927083333333,96
33,"5","average",29.8978494623656,93
33,"5","experience",30.021,100
33,"7","average",29.5490740740741,108
33,"7","experience",28.8921739130435,115
34,"3","average",30.7068965517241,87
34,"3","experience",30.7232876712329,73
34,"5","average",30.3022222222222,90
34,"5","experience",30.3747252747253,91
34,"7","average",29.7109756097561,82
34,"7","experience",29.6401785714286,112
35,"3","average",31.35125,80
35,"3","experience",31.2561797752809,89
35,"5","average",30.455,80
35,"5","experience",30.3115384615385,78
35,"7","average",30.7112676056338,71
35,"7","experience",30.3350649350649,77
36,"3","average",31.4014285714286,70
36,"3","experience",32.1951612903226,62
36,"5","average",30.677358490566,53
36,"5","experience",30.5932432432432,74
36,"7","average",31.374358974359,78
36,"7","experience",30.3057142857143,70
37,"3","average",31.4454545454545,44
37,"3","experience",31.2672413793103,58
37,"5","average",31.7780487804878,41
37,"5","experience",31.4698412698413,63
37,"7","average",30.6,41
37,"7","experience",30.89375,64
38,"3","average",31.5056603773585,53
38,"3","experience",31.812,50
38,"5","average",31.6853658536585,41
38,"5","experience",29.6942857142857,35
38,"7","average",29.8818181818182,33
38,"7","experience",29.7488372093023,43
39,"3","average",31.8433333333333,30
39,"3","experience",32.2551724137931,29
39,"5","average",31.0296296296296,27
39,"5","experience",31.2964285714286,28
39,"7","average",30.5212121212121,33
39,"7","experience",31.6511627906977,43
40,"3","average",31.7052631578947,19
40,"3","experience",32.0407407407407,27
40,"5","average",31.7142857142857,21
40,"5","experience",31.8818181818182,33
40,"7","average",29.64375,32
40,"7","experience",32.0740740740741,27
41,"3","average",31.3,10
41,"3","experience",31.8526315789474,19
41,"5","average",31.955,20
41,"5","experience",31.4869565217391,23
41,"7","average",31.0052631578947,19
41,"7","experience",32.437037037037,27
42,"3","average",33.2428571428571,14
42,"3","experience",32.1,21
42,"5","average",31.0727272727273,11
42,"5","experience",31.1571428571429,14
42,"7","average",31.3923076923077,13
42,"7","experience",30.0714285714286,14
43,"3","average",33.25,12
43,"3","experience",32.3,16
43,"5","average",32.1,10
43,"5","experience",33.275,8
43,"7","average",33.2,7
43,"7","experience",30.26,15
44,"3","average",34.07,10
44,"3","experience",33.0666666666667,12
44,"5","average",31.4666666666667,6
44,"5","experience",31.6333333333333,6
44,"7","average",32.2,6
44,"7","experience",32.175,8
45,"3","average",31.5,8
45,"3","experience",33.225,12
45,"5","average",34.05,4
45,"5","experience",34.18,5
45,"7","average",35,1
45,"7","experience",31.2857142857143,7
46,"3","average",32.93,10
46,"3","experience",31.8142857142857,7
46,"5","average",32.05,2
46,"5","experience",25,2
46,"7","average",33.05,2
46,"7","experience",23.1,1
48,"3","average",33.1666666666667,15
48,"3","experience",32.39375,16
48,"5","average",33.45,2
48,"5","experience",32.7571428571429,14
48,"7","average",32.3666666666667,3
48,"7","experience",32.8461538461538,13
